dong,school_count,subway_count,school_score,subway_score
청운효자동,7,0,31.82,0.0
사직동,12,3,54.55,23.08
삼청동,7,0,31.82,0.0
부암동,2,0,9.09,0.0
평창동,1,0,4.55,0.0
무악동,8,2,36.36,15.38
교남동,16,3,72.73,23.08
가회동,8,1,36.36,7.69
종로1.2.3.4가동,8,6,36.36,46.15
종로5.6가동,4,8,18.18,61.54
이화동,8,2,36.36,15.38
혜화동,12,2,54.55,15.38
창신제1동,8,9,36.36,69.23
창신제2동,9,6,40.91,46.15
창신제3동,11,6,50.0,46.15
숭인제1동,10,8,45.45,61.54
숭인제2동,10,8,45.45,61.54
소공동,7,7,31.82,53.85
회현동,5,5,22.73,38.46
명동,4,9,18.18,69.23
필동,5,3,22.73,23.08
장충동,5,6,22.73,46.15
광희동,7,11,31.82,84.62
을지로동,3,13,13.64,100.0
신당동,10,11,45.45,84.62
다산동,11,7,50.0,53.85
약수동,12,4,54.55,30.77
청구동,12,7,54.55,53.85
신당제5동,18,6,81.82,46.15
동화동,17,7,77.27,53.85
황학동,10,8,45.45,61.54
중림동,14,7,63.64,53.85
후암동,7,3,31.82,23.08
용산2가동,7,2,31.82,15.38
남영동,11,3,50.0,23.08
청파동,14,3,63.64,23.08
원효로제1동,8,5,36.36,38.46
원효로제2동,4,1,18.18,7.69
효창동,11,4,50.0,30.77
용문동,9,3,40.91,23.08
한강로동,4,4,18.18,30.77
이촌제1동,4,1,18.18,7.69
이촌제2동,0,0,0.0,0.0
이태원제1동,2,2,9.09,15.38
이태원제2동,6,3,27.27,23.08
한남동,2,1,9.09,7.69
서빙고동,2,0,9.09,0.0
보광동,4,0,18.18,0.0
왕십리제2동,12,5,54.55,38.46
왕십리도선동,6,5,27.27,38.46
마장동,9,4,40.91,30.77
사근동,8,4,36.36,30.77
행당제1동,11,6,50.0,46.15
행당제2동,10,5,45.45,38.46
응봉동,10,1,45.45,7.69
금호1가동,13,2,59.09,15.38
금호2.3가동,9,4,40.91,30.77
금호4가동,4,2,18.18,15.38
옥수동,7,2,31.82,15.38
성수1가제1동,7,1,31.82,7.69
성수1가제2동,9,2,40.91,15.38
성수2가제1동,6,1,27.27,7.69
성수2가제3동,7,2,31.82,15.38
송정동,4,1,18.18,7.69
용답동,3,2,13.64,15.38
화양동,10,3,45.45,23.08
군자동,3,3,13.64,23.08
중곡제1동,5,3,22.73,23.08
중곡제2동,10,4,45.45,30.77
중곡제3동,12,2,54.55,15.38
중곡제4동,6,1,27.27,7.69
능동,9,4,40.91,30.77
광장동,8,1,36.36,7.69
자양제1동,18,1,81.82,7.69
자양제2동,8,1,36.36,7.69
자양제3동,8,2,36.36,15.38
자양제4동,7,2,31.82,15.38
구의제1동,10,1,45.45,7.69
구의제2동,8,1,36.36,7.69
구의제3동,8,2,36.36,15.38
용신동,9,4,40.91,30.77
제기동,5,4,22.73,30.77
전농제1동,11,1,50.0,7.69
전농제2동,15,0,68.18,0.0
답십리제1동,8,2,36.36,15.38
답십리제2동,7,1,31.82,7.69
장안제1동,6,1,27.27,7.69
장안제2동,9,0,40.91,0.0
청량리동,9,2,40.91,15.38
회기동,10,0,45.45,0.0
휘경제1동,12,0,54.55,0.0
휘경제2동,15,0,68.18,0.0
이문제1동,7,0,31.82,0.0
이문제2동,6,0,27.27,0.0
면목제2동,8,2,36.36,15.38
면목제4동,6,3,27.27,23.08
면목제5동,11,2,50.0,15.38
면목본동,9,3,40.91,23.08
면목제7동,6,2,27.27,15.38
면목제3.8동,7,2,31.82,15.38
상봉제1동,12,2,54.55,15.38
상봉제2동,7,2,31.82,15.38
중화제1동,12,2,54.55,15.38
중화제2동,7,2,31.82,15.38
묵제1동,13,5,59.09,38.46
묵제2동,9,5,40.91,38.46
망우본동,13,0,59.09,0.0
망우제3동,7,0,31.82,0.0
신내1동,8,1,36.36,7.69
신내2동,11,1,50.0,7.69
성북동,8,0,36.36,0.0
삼선동,14,4,63.64,30.77
동선동,18,2,81.82,15.38
돈암제1동,11,2,50.0,15.38
돈암제2동,13,1,59.09,7.69
안암동,12,3,54.55,23.08
보문동,14,4,63.64,30.77
정릉제1동,11,1,50.0,7.69
정릉제2동,8,0,36.36,0.0
정릉제3동,4,0,18.18,0.0
정릉제4동,1,0,4.55,0.0
길음제1동,10,1,45.45,7.69
길음제2동,14,2,63.64,15.38
종암동,9,2,40.91,15.38
월곡제1동,8,2,36.36,15.38
월곡제2동,7,2,31.82,15.38
장위제1동,10,0,45.45,0.0
장위제2동,11,2,50.0,15.38
장위제3동,10,1,45.45,7.69
석관동,5,2,22.73,15.38
삼양동,14,0,63.64,0.0
미아동,7,2,31.82,15.38
송중동,11,1,50.0,7.69
송천동,15,2,68.18,15.38
삼각산동,15,0,68.18,0.0
번제1동,4,1,18.18,7.69
번제2동,8,1,36.36,7.69
번제3동,9,0,40.91,0.0
수유제1동,7,0,31.82,0.0
수유제2동,9,0,40.91,0.0
수유제3동,5,1,22.73,7.69
우이동,0,0,0.0,0.0
인수동,6,0,27.27,0.0
창제1동,11,2,50.0,15.38
창제2동,7,1,31.82,7.69
창제3동,8,0,36.36,0.0
창제4동,15,2,68.18,15.38
창제5동,14,1,63.64,7.69
도봉제1동,0,0,0.0,0.0
도봉제2동,7,2,31.82,15.38
쌍문제1동,11,0,50.0,0.0
쌍문제2동,17,1,77.27,7.69
쌍문제3동,10,1,45.45,7.69
쌍문제4동,18,1,81.82,7.69
방학제1동,13,0,59.09,0.0
방학제2동,5,0,22.73,0.0
방학제3동,10,0,45.45,0.0
월계1동,8,1,36.36,7.69
월계2동,13,0,59.09,0.0
월계3동,10,1,45.45,7.69
공릉1동,9,3,40.91,23.08
공릉2동,3,0,13.64,0.0
하계1동,12,1,54.55,7.69
하계2동,14,1,63.64,7.69
중계본동,6,0,27.27,0.0
중계1동,22,1,100.0,7.69
중계4동,11,1,50.0,7.69
중계2.3동,21,2,95.45,15.38
상계1동,2,0,9.09,0.0
상계2동,17,3,77.27,23.08
상계3.4동,1,1,4.55,7.69
상계5동,15,2,68.18,15.38
상계6.7동,18,3,81.82,23.08
상계8동,21,1,95.45,7.69
상계9동,16,1,72.73,7.69
상계10동,19,3,86.36,23.08
녹번동,4,3,18.18,23.08
불광제1동,4,1,18.18,7.69
불광제2동,10,3,45.45,23.08
갈현제1동,15,2,68.18,15.38
갈현제2동,18,3,81.82,23.08
구산동,12,1,54.55,7.69
대조동,10,6,45.45,46.15
응암제1동,6,3,27.27,23.08
응암제2동,11,2,50.0,15.38
응암제3동,10,2,45.45,15.38
역촌동,13,3,59.09,23.08
신사제1동,9,2,40.91,15.38
신사제2동,7,1,31.82,7.69
증산동,7,2,31.82,15.38
수색동,4,0,18.18,0.0
진관동,1,0,4.55,0.0
천연동,13,1,59.09,7.69
북아현동,18,5,81.82,38.46
충현동,15,4,68.18,30.77
신촌동,8,1,36.36,7.69
연희동,3,0,13.64,0.0
홍제제1동,6,2,27.27,15.38
홍제제3동,4,1,18.18,7.69
홍제제2동,4,2,18.18,15.38
홍은제1동,6,1,27.27,7.69
홍은제2동,12,0,54.55,0.0
남가좌제1동,12,0,54.55,0.0
남가좌제2동,10,0,45.45,0.0
북가좌제1동,11,2,50.0,15.38
북가좌제2동,12,1,54.55,7.69
아현동,20,5,90.91,38.46
공덕동,18,4,81.82,30.77
도화동,5,3,22.73,23.08
용강동,7,4,31.82,30.77
대흥동,17,4,77.27,30.77
염리동,14,5,63.64,38.46
신수동,5,2,22.73,15.38
서강동,4,2,18.18,15.38
서교동,10,5,45.45,38.46
합정동,2,2,9.09,15.38
망원제1동,3,1,13.64,7.69
망원제2동,2,1,9.09,7.69
연남동,11,1,50.0,7.69
성산제1동,14,2,63.64,15.38
성산제2동,8,2,36.36,15.38
상암동,1,0,4.55,0.0
목1동,8,3,36.36,23.08
목2동,8,0,36.36,0.0
목3동,14,0,63.64,0.0
목4동,10,0,45.45,0.0
목5동,10,0,45.45,0.0
신월1동,6,0,27.27,0.0
신월2동,7,4,31.82,30.77
신월3동,12,0,54.55,0.0
신월4동,9,0,40.91,0.0
신월5동,16,1,72.73,7.69
신월6동,14,0,63.64,0.0
신월7동,7,0,31.82,0.0
신정1동,11,4,50.0,30.77
신정2동,13,2,59.09,15.38
신정3동,14,0,63.64,0.0
신정4동,11,3,50.0,23.08
신정6동,10,1,45.45,7.69
신정7동,10,1,45.45,7.69
염창동,6,0,27.27,0.0
등촌제1동,18,0,81.82,0.0
등촌제2동,13,0,59.09,0.0
등촌제3동,15,0,68.18,0.0
화곡제1동,5,3,22.73,23.08
화곡제2동,7,3,31.82,23.08
화곡제3동,11,2,50.0,15.38
화곡제4동,9,0,40.91,0.0
화곡본동,8,1,36.36,7.69
화곡제6동,11,0,50.0,0.0
화곡제8동,8,2,36.36,15.38
가양제1동,1,0,4.55,0.0
가양제2동,11,0,50.0,0.0
가양제3동,9,0,40.91,0.0
발산제1동,18,1,81.82,7.69
우장산동,11,1,50.0,7.69
공항동,0,1,0.0,7.69
방화제1동,11,1,50.0,7.69
방화제2동,3,0,13.64,0.0
방화제3동,7,1,31.82,7.69
신도림동,7,2,31.82,15.38
구로제1동,6,0,27.27,0.0
구로제2동,8,0,36.36,0.0
구로제3동,6,4,27.27,30.77
구로제4동,12,3,54.55,23.08
구로제5동,10,1,45.45,7.69
가리봉동,5,2,22.73,15.38
고척제1동,10,0,45.45,0.0
고척제2동,14,0,63.64,0.0
개봉제1동,9,0,40.91,0.0
개봉제2동,8,0,36.36,0.0
개봉제3동,6,1,27.27,7.69
오류제1동,6,0,27.27,0.0
오류제2동,7,1,31.82,7.69
수궁동,9,1,40.91,7.69
가산동,2,1,9.09,7.69
독산제1동,8,0,36.36,0.0
독산제2동,7,0,31.82,0.0
독산제3동,10,0,45.45,0.0
독산제4동,11,0,50.0,0.0
시흥제1동,9,0,40.91,0.0
시흥제2동,7,0,31.82,0.0
시흥제3동,6,0,27.27,0.0
시흥제4동,6,0,27.27,0.0
시흥제5동,12,0,54.55,0.0
영등포본동,8,1,36.36,7.69
영등포동,4,2,18.18,15.38
여의동,6,2,27.27,15.38
당산제1동,7,5,31.82,38.46
당산제2동,9,1,40.91,7.69
도림동,7,1,31.82,7.69
문래동,9,4,40.91,30.77
양평제1동,7,3,31.82,23.08
양평제2동,9,0,40.91,0.0
신길제1동,8,1,36.36,7.69
신길제3동,10,1,45.45,7.69
신길제4동,11,1,50.0,7.69
신길제5동,14,1,63.64,7.69
신길제6동,14,2,63.64,15.38
신길제7동,13,1,59.09,7.69
대림제1동,14,4,63.64,30.77
대림제2동,8,3,36.36,23.08
대림제3동,13,2,59.09,15.38
노량진제1동,5,0,22.73,0.0
노량진제2동,9,1,40.91,7.69
상도제1동,11,2,50.0,15.38
상도제2동,8,2,36.36,15.38
상도제3동,8,2,36.36,15.38
상도제4동,8,2,36.36,15.38
흑석동,7,0,31.82,0.0
사당제1동,7,5,31.82,38.46
사당제2동,3,1,13.64,7.69
사당제3동,9,1,40.91,7.69
사당제4동,13,2,59.09,15.38
사당제5동,11,2,50.0,15.38
대방동,14,1,63.64,7.69
신대방제1동,10,2,45.45,15.38
신대방제2동,11,2,50.0,15.38
보라매동,4,1,18.18,7.69
청림동,14,1,63.64,7.69
성현동,13,2,59.09,15.38
행운동,10,2,45.45,15.38
낙성대동,1,0,4.55,0.0
청룡동,12,2,54.55,15.38
은천동,10,1,45.45,7.69
중앙동,14,2,63.64,15.38
인헌동,6,1,27.27,7.69
남현동,0,0,0.0,0.0
서원동,5,2,22.73,15.38
신원동,11,1,50.0,7.69
서림동,10,0,45.45,0.0
신사동,10,2,45.45,15.38
신림동,8,1,36.36,7.69
난향동,9,0,40.91,0.0
조원동,10,2,45.45,15.38
대학동,0,0,0.0,0.0
삼성동,8,0,36.36,0.0
미성동,15,0,68.18,0.0
난곡동,12,0,54.55,0.0
서초1동,4,3,18.18,23.08
서초2동,8,1,36.36,7.69
서초3동,7,3,31.82,23.08
서초4동,8,3,36.36,23.08
잠원동,3,2,13.64,15.38
반포본동,5,1,22.73,7.69
반포1동,8,3,36.36,23.08
반포2동,7,2,31.82,15.38
반포3동,5,3,22.73,23.08
반포4동,7,3,31.82,23.08
방배본동,11,2,50.0,15.38
방배1동,6,2,27.27,15.38
방배2동,6,3,27.27,23.08
방배3동,6,1,27.27,7.69
방배4동,7,3,31.82,23.08
양재1동,4,0,18.18,0.0
양재2동,1,0,4.55,0.0
내곡동,1,0,4.55,0.0
신사동,4,1,18.18,7.69
논현1동,1,4,4.55,30.77
논현2동,6,4,27.27,30.77
압구정동,5,1,22.73,7.69
청담동,6,1,27.27,7.69
삼성1동,3,4,13.64,30.77
삼성2동,5,5,22.73,38.46
대치1동,17,2,77.27,15.38
대치2동,8,3,36.36,23.08
대치4동,12,1,54.55,7.69
역삼1동,2,3,9.09,23.08
역삼2동,8,2,36.36,15.38
도곡1동,6,2,27.27,15.38
도곡2동,12,2,54.55,15.38
개포1동,8,0,36.36,0.0
개포2동,15,1,68.18,7.69
개포4동,8,0,36.36,0.0
세곡동,4,0,18.18,0.0
일원본동,6,1,27.27,7.69
일원1동,8,1,36.36,7.69
일원2동,7,2,31.82,15.38
수서동,5,1,22.73,7.69
풍납1동,4,2,18.18,15.38
풍납2동,9,1,40.91,7.69
거여1동,9,3,40.91,23.08
거여2동,11,2,50.0,15.38
마천1동,6,1,27.27,7.69
마천2동,6,1,27.27,7.69
방이1동,11,6,50.0,46.15
방이2동,7,4,31.82,30.77
오륜동,11,3,50.0,23.08
오금동,13,4,59.09,30.77
송파1동,12,5,54.55,38.46
송파2동,13,5,59.09,38.46
석촌동,9,4,40.91,30.77
삼전동,9,2,40.91,15.38
가락본동,13,6,59.09,46.15
가락1동,13,3,59.09,23.08
가락2동,12,4,54.55,30.77
문정1동,11,4,50.0,30.77
문정2동,4,2,18.18,15.38
장지동,9,2,40.91,15.38
위례동,9,0,40.91,0.0
잠실본동,7,3,31.82,23.08
잠실2동,6,2,27.27,15.38
잠실3동,9,2,40.91,15.38
잠실4동,9,5,40.91,38.46
잠실6동,5,4,22.73,30.77
잠실7동,5,3,22.73,23.08
강일동,9,1,40.91,7.69
상일동,11,1,50.0,7.69
명일제1동,15,3,68.18,23.08
명일제2동,12,2,54.55,15.38
고덕제1동,8,1,36.36,7.69
고덕제2동,5,0,22.73,0.0
암사제1동,13,2,59.09,15.38
암사제2동,3,1,13.64,7.69
암사제3동,6,0,27.27,0.0
천호제1동,9,3,40.91,23.08
천호제2동,4,3,18.18,23.08
천호제3동,7,4,31.82,30.77
성내제1동,10,3,45.45,23.08
성내제2동,7,4,31.82,30.77
성내제3동,12,2,54.55,15.38
길동,7,2,31.82,15.38
둔촌제1동,15,3,68.18,23.08
둔촌제2동,6,2,27.27,15.38
